recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-1,-1,-1,2496479193.000000,6.826186,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,2392215257.000000,3.611211,0.1,0.11,1,2,30,1000,2147483647
-1,-1,-1,3336220148.000000,7.565392,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,1892537403.000000,3.247092,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,3591373746.000000,7.545490,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,2158525719.000000,3.827027,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,2731892479.000000,7.528211,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,2509023907.000000,2.732108,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,3136092368.000000,2.299590,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,3312610735.000000,6.760133,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,1847977533.000000,7.228513,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,3601517947.000000,3.016460,0.01,0.02,1,2,30,1000,2147483647
-1,-1,-1,2716305870.000000,7.788751,1,1.1,-1,-1,30,1000,2147483647
-1,-1,-1,3420226379.000000,5.866463,1,1.1,-1,-1,30,1000,2147483647
